,loss,rpn_class_loss,rpn_bbox_loss,mrcnn_class_loss,mrcnn_bbox_loss,mrcnn_mask_loss,val_loss,val_rpn_class_loss,val_rpn_bbox_loss,val_mrcnn_class_loss,val_mrcnn_bbox_loss,val_mrcnn_mask_loss,epoch_train_time
1,13.814655294418335,0.61006063,7.1380205,1.055044,5.008331,0.003199261,4.130836834907532,0.26945305,0.8999484,0.8726566,2.0887792,5.9379834e-10,314.7854869365692
2,4.261818532347679,0.2660228,1.0361015,1.3258195,1.6338747,1.8534512e-09,1.865436704158783,0.17119516,0.55613005,0.43693006,0.7011814,0.0,186.89624691009521
3,2.149739063978195,0.11955166,0.7195846,0.5168961,0.7710201,0.022686841,1.6115158367156983,0.107639484,0.40935016,0.46914533,0.6236454,0.0017355394,315.1879081726074
4,1.5875309509038926,0.08275107,0.43544614,0.4585667,0.610013,0.00075415685,1.5297343373298644,0.07734297,0.41301593,0.43797982,0.60116595,0.00022942954,175.38661122322083
5,1.6209683310985565,0.08027471,0.46861508,0.46522158,0.6064377,0.00041907103,1.56091335773468,0.075896345,0.41698983,0.44517586,0.6224585,0.00039281487,231.95507621765137
6,1.5296859389543533,0.07192697,0.41019776,0.45604286,0.59124494,0.0002735144,1.5954429888725281,0.072909184,0.45768875,0.44175187,0.62296957,0.00012353345,235.58093810081482
7,1.5485288721323014,0.0657092,0.4218356,0.46145302,0.5992926,0.00023836498,1.5540254974365235,0.07065294,0.4270183,0.45396549,0.60225236,0.00013645862,253.15441298484802
8,2.010971092581749,0.1594172716140747,0.6166267991065979,0.4373984634876251,0.7435942888259888,0.05393455922603607,1.5926429271697997,0.07879763841629028,0.39727193117141724,0.5047794580459595,0.6085339784622192,0.0032600301783531904,300.8725595474243
9,1.5637792074680328,0.07617531716823578,0.4089938998222351,0.47264865040779114,0.6028473377227783,0.0031140518840402365,1.5500510621070862,0.07094583660364151,0.39360740780830383,0.4803762435913086,0.6031925678253174,0.0019291123608127236,170.78919529914856
10,1.5977663666009903,0.07303809374570847,0.43886157870292664,0.47393998503685,0.6103894710540771,0.0015372709603980184,1.5693660831451417,0.06808138638734818,0.414343923330307,0.48006510734558105,0.6054001450538635,0.0014756715390831232,245.47276639938354
11,1.541052247285843,0.06814739853143692,0.3985119163990021,0.4720819890499115,0.6010827422142029,0.001228431472554803,1.5435866498947144,0.06454268097877502,0.4239717423915863,0.4659362733364105,0.5884824991226196,0.0006534342537634075,236.1436049938202
12,1.5145171386003495,0.06592340022325516,0.40760838985443115,0.45176246762275696,0.588270366191864,0.0009526640642434359,1.5601788711547853,0.06161721050739288,0.41800689697265625,0.4859110116958618,0.5941332578659058,0.0005105948657728732,237.65362548828125
13,1.4981567019224167,0.06552164256572723,0.4082501530647278,0.4424336552619934,0.5813218951225281,0.0006293242913670838,1.5055242562294007,0.060749005526304245,0.3898589015007019,0.45423203706741333,0.6000489592552185,0.0006352775380946696,241.30896925926208
14,1.4955649870634078,0.06276480108499527,0.421000599861145,0.42689037322998047,0.5842904448509216,0.0006188092520460486,1.4860079431533812,0.06152547523379326,0.3964175283908844,0.42849409580230713,0.5989111661911011,0.0006598858744837344,231.780770778656
15,1.526232585310936,0.06808722764253616,0.43590545654296875,0.4362066984176636,0.5854333639144897,0.0006002020672895014,1.4540350174903869,0.06093212962150574,0.3822399377822876,0.433787077665329,0.5764920115470886,0.0005836709169670939,242.60855746269226
